"","TP","trait","year","cor"
"1","TP1","GE","2021",0.496080627627878
"2","TP1","GE","2021",0.501132691357814
"3","TP1","GE","2021",0.533601562588316
"4","TP1","GE","2021",0.521804959021512
"5","TP1","GE","2021",0.487067871323817
"6","TP1","GE","2021",0.42842094854735
"7","TP1","GE","2021",0.366469835974934
"8","TP1","GE","2021",0.552735250173611
"9","TP1","GE","2021",0.552735250173611
"10","TP1","GE","2021",0.591695934603152
"11","TP1","GE","2021",0.594933042996335
"12","TP1","GE","2021",0.551095943765437
"13","TP1","GE","2021",0.554554480179446
"14","TP1","GE","2021",0.521101326472131
"15","TP1","GE","2021",0.567647510067227
"16","TP1","GE","2021",0.445381074095054
"17","TP1","GE","2021",0.528169247160078
"18","TP1","GI","2021",0.479212010401389
"19","TP1","GI","2021",0.486998114438371
"20","TP1","GI","2021",0.49929096931226
"21","TP1","GI","2021",0.49064763384835
"22","TP1","GI","2021",0.44059789708495
"23","TP1","GI","2021",0.386480863378259
"24","TP1","GI","2021",0.328399801433228
"25","TP1","GI","2021",0.575123426606112
"26","TP1","GI","2021",0.575123426606112
"27","TP1","GI","2021",0.609941800784609
"28","TP1","GI","2021",0.608774201766564
"29","TP1","GI","2021",0.526365054648207
"30","TP1","GI","2021",0.529737960554159
"31","TP1","GI","2021",0.505401099817108
"32","TP1","GI","2021",0.545245495473711
"33","TP1","GI","2021",0.447320192088388
"34","TP1","GI","2021",0.561212810059737
"35","TP1.5","GE","2021",0.581315752445982
"36","TP1.5","GE","2021",0.576587255249257
"37","TP1.5","GE","2021",0.553479515918953
"38","TP1.5","GE","2021",0.552872044608511
"39","TP1.5","GE","2021",0.565963128373174
"40","TP1.5","GE","2021",0.574614108203836
"41","TP1.5","GE","2021",0.57248590880953
"42","TP1.5","GE","2021",0.528465930592552
"43","TP1.5","GE","2021",0.528465930592552
"44","TP1.5","GE","2021",0.552594144447976
"45","TP1.5","GE","2021",0.526959689966619
"46","TP1.5","GE","2021",0.474676769239486
"47","TP1.5","GE","2021",0.50019079220704
"48","TP1.5","GE","2021",0.527540543294208
"49","TP1.5","GE","2021",0.50189278130531
"50","TP1.5","GE","2021",0.448451873861301
"51","TP1.5","GE","2021",0.402909128361309
"52","TP1.5","GI","2021",0.573519659864293
"53","TP1.5","GI","2021",0.570133066890208
"54","TP1.5","GI","2021",0.524729989507732
"55","TP1.5","GI","2021",0.525705558514205
"56","TP1.5","GI","2021",0.545290346807711
"57","TP1.5","GI","2021",0.550098291465668
"58","TP1.5","GI","2021",0.53792807162139
"59","TP1.5","GI","2021",0.531051681972782
"60","TP1.5","GI","2021",0.531051681972782
"61","TP1.5","GI","2021",0.560789083784839
"62","TP1.5","GI","2021",0.502766870560172
"63","TP1.5","GI","2021",0.481054279362844
"64","TP1.5","GI","2021",0.500989373992084
"65","TP1.5","GI","2021",0.508791293457759
"66","TP1.5","GI","2021",0.500168307816131
"67","TP1.5","GI","2021",0.438401314640777
"68","TP1.5","GI","2021",0.422221494928503
"69","TP2","GE","2021",0.571032511217971
"70","TP2","GE","2021",0.580852703103544
"71","TP2","GE","2021",0.58351339345291
"72","TP2","GE","2021",0.582220438189865
"73","TP2","GE","2021",0.606725926374031
"74","TP2","GE","2021",0.601721610619204
"75","TP2","GE","2021",0.613334119153796
"76","TP2","GE","2021",0.472228778881443
"77","TP2","GE","2021",0.472228778881443
"78","TP2","GE","2021",0.491766468748242
"79","TP2","GE","2021",0.561967273177614
"80","TP2","GE","2021",0.472769922683442
"81","TP2","GE","2021",0.491387654812318
"82","TP2","GE","2021",0.589218308242977
"83","TP2","GE","2021",0.587698584590238
"84","TP2","GE","2021",0.48989452311583
"85","TP2","GE","2021",0.448196668836158
"86","TP2","GI","2021",0.577482787230097
"87","TP2","GI","2021",0.584839471224119
"88","TP2","GI","2021",0.557872423230567
"89","TP2","GI","2021",0.557923975461192
"90","TP2","GI","2021",0.582634675656838
"91","TP2","GI","2021",0.58537026784284
"92","TP2","GI","2021",0.59123287715439
"93","TP2","GI","2021",0.494033308843452
"94","TP2","GI","2021",0.494033308843452
"95","TP2","GI","2021",0.506874757468812
"96","TP2","GI","2021",0.547706993813699
"97","TP2","GI","2021",0.473149768888386
"98","TP2","GI","2021",0.490873645954105
"99","TP2","GI","2021",0.57425163574424
"100","TP2","GI","2021",0.568011269249986
"101","TP2","GI","2021",0.498156027275745
"102","TP2","GI","2021",0.451372711627135
"103","TP2.5","GE","2021",0.519070231333062
"104","TP2.5","GE","2021",0.533662735095712
"105","TP2.5","GE","2021",0.544324441187663
"106","TP2.5","GE","2021",0.550523486108609
"107","TP2.5","GE","2021",0.596063918607303
"108","TP2.5","GE","2021",0.592108253512752
"109","TP2.5","GE","2021",0.584620086879742
"110","TP2.5","GE","2021",0.452043138101343
"111","TP2.5","GE","2021",0.452043138101343
"112","TP2.5","GE","2021",0.472931961268584
"113","TP2.5","GE","2021",0.545927076777138
"114","TP2.5","GE","2021",0.489208220601826
"115","TP2.5","GE","2021",0.494446042032509
"116","TP2.5","GE","2021",0.638301489867796
"117","TP2.5","GE","2021",0.612817854397298
"118","TP2.5","GE","2021",0.47261652876013
"119","TP2.5","GE","2021",0.467261967184688
"120","TP2.5","GI","2021",0.563577070561698
"121","TP2.5","GI","2021",0.573321408411566
"122","TP2.5","GI","2021",0.565515854440686
"123","TP2.5","GI","2021",0.562567930338171
"124","TP2.5","GI","2021",0.598115989605848
"125","TP2.5","GI","2021",0.604106089940104
"126","TP2.5","GI","2021",0.599540709827488
"127","TP2.5","GI","2021",0.476322939115205
"128","TP2.5","GI","2021",0.476322939115205
"129","TP2.5","GI","2021",0.492831722806029
"130","TP2.5","GI","2021",0.544080436581947
"131","TP2.5","GI","2021",0.488251191361033
"132","TP2.5","GI","2021",0.500868656224563
"133","TP2.5","GI","2021",0.624742148771911
"134","TP2.5","GI","2021",0.606156580780244
"135","TP2.5","GI","2021",0.480370218015487
"136","TP2.5","GI","2021",0.467413993821898
"137","TP3","GE","2021",0.49126564219575
"138","TP3","GE","2021",0.515462751559439
"139","TP3","GE","2021",0.549670893598327
"140","TP3","GE","2021",0.534260804737525
"141","TP3","GE","2021",0.59071372642621
"142","TP3","GE","2021",0.58253305130601
"143","TP3","GE","2021",0.559794323761286
"144","TP3","GE","2021",0.484166506431239
"145","TP3","GE","2021",0.484166506431239
"146","TP3","GE","2021",0.483994551796583
"147","TP3","GE","2021",0.540326529097486
"148","TP3","GE","2021",0.504858763448053
"149","TP3","GE","2021",0.511054186940867
"150","TP3","GE","2021",0.580716319663027
"151","TP3","GE","2021",0.523867298362636
"152","TP3","GE","2021",0.437410375564144
"153","TP3","GE","2021",0.454655286486748
"154","TP3","GI","2021",0.56525145849309
"155","TP3","GI","2021",0.591363156691242
"156","TP3","GI","2021",0.59112403935652
"157","TP3","GI","2021",0.577693563077585
"158","TP3","GI","2021",0.613965668193105
"159","TP3","GI","2021",0.616270096536031
"160","TP3","GI","2021",0.603418081106088
"161","TP3","GI","2021",0.514819335526204
"162","TP3","GI","2021",0.514819335526204
"163","TP3","GI","2021",0.527920730876322
"164","TP3","GI","2021",0.552765020769148
"165","TP3","GI","2021",0.508159247650166
"166","TP3","GI","2021",0.517830817743401
"167","TP3","GI","2021",0.545920468074702
"168","TP3","GI","2021",0.538569635546815
"169","TP3","GI","2021",0.454099238211269
"170","TP3","GI","2021",0.471678201604347
"171","TP3.5","GE","2021",0.357061949875065
"172","TP3.5","GE","2021",0.372719555705514
"173","TP3.5","GE","2021",0.367015810629308
"174","TP3.5","GE","2021",0.388143171261321
"175","TP3.5","GE","2021",0.519882587378222
"176","TP3.5","GE","2021",0.515758821993766
"177","TP3.5","GE","2021",0.464513660349312
"178","TP3.5","GE","2021",0.411365251206166
"179","TP3.5","GE","2021",0.411365251206166
"180","TP3.5","GE","2021",0.362919906228214
"181","TP3.5","GE","2021",0.513629113681257
"182","TP3.5","GE","2021",0.393964835397911
"183","TP3.5","GE","2021",0.391119052061987
"184","TP3.5","GE","2021",0.535271213616047
"185","TP3.5","GE","2021",0.564370173226748
"186","TP3.5","GE","2021",0.403605906247249
"187","TP3.5","GE","2021",0.363283756758649
"188","TP3.5","GI","2021",0.484214819608504
"189","TP3.5","GI","2021",0.51651299840741
"190","TP3.5","GI","2021",0.498456699244511
"191","TP3.5","GI","2021",0.517882980894764
"192","TP3.5","GI","2021",0.595097659084597
"193","TP3.5","GI","2021",0.590229021229206
"194","TP3.5","GI","2021",0.545994821254667
"195","TP3.5","GI","2021",0.45662102706402
"196","TP3.5","GI","2021",0.45662102706402
"197","TP3.5","GI","2021",0.428016795290389
"198","TP3.5","GI","2021",0.573148950540132
"199","TP3.5","GI","2021",0.465882650136068
"200","TP3.5","GI","2021",0.466839846755769
"201","TP3.5","GI","2021",0.599468125250425
"202","TP3.5","GI","2021",0.598041435035885
"203","TP3.5","GI","2021",0.440666510438746
"204","TP3.5","GI","2021",0.408930689794073
"205","TP4","GE","2021",0.19536170661531
"206","TP4","GE","2021",0.19944229965945
"207","TP4","GE","2021",0.340409159626192
"208","TP4","GE","2021",0.365847929422067
"209","TP4","GE","2021",0.414301675444278
"210","TP4","GE","2021",0.414301675444278
"211","TP4","GE","2021",0.365004280201709
"212","TP4","GE","2021",0.386622129816744
"213","TP4","GE","2021",0.363681460582921
"214","TP4","GE","2021",0.397827987102813
"215","TP4","GE","2021",0.206264197317643
"216","TP4","GI","2021",0.418768249330697
"217","TP4","GI","2021",0.429933744346826
"218","TP4","GI","2021",0.539712059741515
"219","TP4","GI","2021",0.544695282863534
"220","TP4","GI","2021",0.485671734867907
"221","TP4","GI","2021",0.485671734867907
"222","TP4","GI","2021",0.434337563899972
"223","TP4","GI","2021",0.55968972069191
"224","TP4","GI","2021",0.474220638771349
"225","TP4","GI","2021",0.494939192816632
"226","TP4","GI","2021",0.373428195346913
"227","TP5","GE","2021",0.0758138272469205
"228","TP5","GE","2021",0.0331911044861526
"229","TP5","GE","2021",0.0113312925013005
"230","TP5","GE","2021",0.125684399630854
"231","TP5","GE","2021",0.104788043885189
"232","TP5","GE","2021",0.104978965447014
"233","TP5","GE","2021",0.104978965447014
"234","TP5","GE","2021",0.102802479230268
"235","TP5","GE","2021",0.104712521789301
"236","TP5","GE","2021",0.0689788195209413
"237","TP5","GE","2021",0.0798549238465632
"238","TP5","GE","2021",-0.00331878120617595
"239","TP5","GE","2021",0.0627610112408403
"240","TP5","GI","2021",0.44704262044392
"241","TP5","GI","2021",0.463515981046401
"242","TP5","GI","2021",0.431216605196791
"243","TP5","GI","2021",0.544150521284252
"244","TP5","GI","2021",0.579635774748451
"245","TP5","GI","2021",0.356465522233378
"246","TP5","GI","2021",0.356465522233378
"247","TP5","GI","2021",0.345724154440176
"248","TP5","GI","2021",0.432089019559279
"249","TP5","GI","2021",0.364556810555478
"250","TP5","GI","2021",0.35237702741289
"251","TP5","GI","2021",0.322002539935436
"252","TP5","GI","2021",0.447163958033575
